Gene,MutSig(Q-value),# Mut,# Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ANKMY2,2,2,1013,0.2%,No
ZFAND3,2,2,1013,0.2%,No
KISS1R,3,3,1013,0.3%,No
RARS2,3,3,1013,0.3%,No
SMAP1,2,2,1013,0.2%,No
FKBP10,3,3,1013,0.3%,No
TTBK1,15,15,1013,1.5%,No
CELF5,2,2,1013,0.2%,No
TWSG1,2,2,1013,0.2%,No
USP32,9,7,1013,0.7%,No
DPAGT1,3,3,1013,0.3%,No
DXO,1,1,1013,<0.1%,No
DOK1,4,4,1013,0.4%,No
MYPN,9,9,1013,0.9%,No
DOCK3,12,12,1013,1.2%,No
PLSCR2,1,1,1013,<0.1%,No
DOCK2,14,13,1013,1.3%,No
HES7,1,1,1013,<0.1%,No
DOCK1,3,3,1013,0.3%,No
CCDC62,2,2,1013,0.2%,No
GLIS2,3,3,1013,0.3%,No
CHRNA10,8,6,1013,0.6%,No
UTP3,6,6,1013,0.6%,No
ZBTB49,4,4,1013,0.4%,No
ADGRE3,4,4,1013,0.4%,No
RNASE7,1,1,1013,<0.1%,No
TBX20,5,5,1013,0.5%,No
SPZ1,2,2,1013,0.2%,No
GLYR1,7,6,1013,0.6%,No
EBPL,1,1,1013,<0.1%,No
RNASEH2A,2,2,1013,0.2%,Yes
BATF,1,1,1013,<0.1%,No
UBD,2,2,1013,0.2%,No
PITRM1,5,5,1013,0.5%,No
ZNRD2,1,1,1013,<0.1%,No
ATG7,4,4,1013,0.4%,No
PRDX4,1,1,1013,<0.1%,No
FNDC5,1,1,1013,<0.1%,No
TM9SF1,3,3,1013,0.3%,No
MARCHF11,2,2,1013,0.2%,No
ANP32B,2,2,1013,0.2%,No
TXLNA,5,5,1013,0.5%,No
DCTN2,4,4,1013,0.4%,No
PROCR,4,3,1013,0.3%,No
MYBBP1A,11,11,1013,1.1%,No
APPBP2,4,4,1013,0.4%,No
FBLN5,2,2,1013,0.2%,No
FBXW10,4,4,1013,0.4%,No
CIB1,1,1,1013,<0.1%,No
SEMA3C,7,7,1013,0.7%,No
CUEDC1,1,1,1013,<0.1%,No
HYOU1,3,3,1013,0.3%,No
KAT5,5,5,1013,0.5%,No
IPO7,3,3,1013,0.3%,No
OSTC,1,1,1013,<0.1%,No
IPO8,4,3,1013,0.3%,No
ARHGAP22,12,12,1013,1.2%,No
NEBL,7,6,1013,0.6%,No
NOP56,2,2,1013,0.2%,No
ZNF250,6,6,1013,0.6%,No
DDX17,4,3,1013,0.3%,No
ZNF211,2,2,1013,0.2%,No
SCAF1,8,8,1013,0.8%,No
CHERP,4,4,1013,0.4%,No
DEAF1,7,7,1013,0.7%,No
KMT2C,79,66,1013,6.5%,Yes
OR2A2,4,4,1013,0.4%,No
EPS15L1,4,4,1013,0.4%,No
SINHCAF,1,1,1013,<0.1%,No
GPAT3,4,4,1013,0.4%,No
SELENOK,2,2,1013,0.2%,No
PRODH2,2,2,1013,0.2%,No
DLGAP3,12,12,1013,1.2%,No
DNASE2B,4,4,1013,0.4%,No
PAQR7,1,1,1013,<0.1%,No
RBM25,7,7,1013,0.7%,No
ZCWPW2,3,3,1013,0.3%,No
WIZ,2,2,1013,0.2%,No
DMRT3,1,1,1013,<0.1%,No
SEMA4F,4,4,1013,0.4%,No
MID1IP1,1,1,1013,<0.1%,No
SEMA4D,3,3,1013,0.3%,No
SEMA4B,1,1,1013,<0.1%,No
MYOZ1,4,4,1013,0.4%,No
SEMA6B,1,1,1013,<0.1%,No
SEMA6C,5,5,1013,0.5%,No
IL17RC,2,2,1013,0.2%,No
LMNB2,3,2,1013,0.2%,No
ATP10D,8,8,1013,0.8%,No
MPP4,4,4,1013,0.4%,No
FCRLA,1,1,1013,<0.1%,No
ZNF248,1,1,1013,<0.1%,No
SLC45A4,8,8,1013,0.8%,No
MFSD9,5,5,1013,0.5%,No
NFKBID,3,3,1013,0.3%,No
PLCD4,3,3,1013,0.3%,No
VANGL2,5,3,1013,0.3%,No
BUD13,2,2,1013,0.2%,No
TTC7A,7,7,1013,0.7%,No
PLPP7,2,2,1013,0.2%,No
ADGRG6,8,8,1013,0.8%,No
CEMIP,9,9,1013,0.9%,No
PHOSPHO2,2,2,1013,0.2%,No
OR13D1,4,4,1013,0.4%,No
RNASE12,1,1,1013,<0.1%,No
HAPLN4,3,3,1013,0.3%,No
FOXD4L3,1,1,1013,<0.1%,No
STPG4,1,1,1013,<0.1%,No
SCGN,1,1,1013,<0.1%,No
SMC2,6,6,1013,0.6%,No
C17ORF107,1,1,1013,<0.1%,No
PRPF8,13,12,1013,1.2%,Yes
ERN2,4,4,1013,0.4%,No
AHSA1,3,3,1013,0.3%,No
SLCO1B1,4,4,1013,0.4%,No
LRIT3,4,4,1013,0.4%,No
CPO,1,1,1013,<0.1%,No
DPYSL4,4,4,1013,0.4%,No
TOP1MT,2,2,1013,0.2%,No
CLNK,1,1,1013,<0.1%,No
TACC2,16,15,1013,1.5%,No
SIVA1,2,2,1013,0.2%,No
CCT7,1,1,1013,<0.1%,No
CCT2,2,2,1013,0.2%,No
CCT4,2,2,1013,0.2%,No
GNLY,1,1,1013,<0.1%,No
NPC2,2,2,1013,0.2%,No
FAM78A,2,2,1013,0.2%,No
SORBS1,5,5,1013,0.5%,No
HAUS1,3,2,1013,0.2%,No
TM4SF18,1,1,1013,<0.1%,No
SLC26A7,6,6,1013,0.6%,No
GRIN3A,8,8,1013,0.8%,No
GRIN3B,1,1,1013,<0.1%,No
NKAIN4,2,2,1013,0.2%,No
POMT1,4,3,1013,0.3%,No
COLEC10,5,5,1013,0.5%,No
TXNRD2,3,2,1013,0.2%,No
MAB21L2,4,4,1013,0.4%,No
SPTLC1,3,3,1013,0.3%,No
SLC35A1,1,1,1013,<0.1%,No
ARL6IP5,1,1,1013,<0.1%,No
AGR2,2,2,1013,0.2%,No
AGPAT1,1,1,1013,<0.1%,No
HTATIP2,2,2,1013,0.2%,Yes
RPP30,4,4,1013,0.4%,No
AGPAT2,1,1,1013,<0.1%,No
CCDC141,9,9,1013,0.9%,No
SLU7,2,2,1013,0.2%,No
SLC34A2,5,5,1013,0.5%,Yes
IFI44,2,2,1013,0.2%,No
SLC19A2,1,1,1013,<0.1%,No
CXCL13,1,1,1013,<0.1%,No
OLFM4,3,3,1013,0.3%,No
ARFGEF1,7,7,1013,0.7%,No
ARFGEF2,10,10,1013,1.0%,No
RABAC1,1,1,1013,<0.1%,No
AKAP3,6,6,1013,0.6%,No
OR13C9,2,2,1013,0.2%,No
CNTNAP5,26,25,1013,2.5%,No
ACTR3B,5,5,1013,0.5%,No
NIPAL3,4,3,1013,0.3%,No
RALGAPA2,13,10,1013,1.0%,No
SLC26A8,6,6,1013,0.6%,No
THOC2,3,3,1013,0.3%,No
ADAMTSL3,6,6,1013,0.6%,No
SLC39A10,4,4,1013,0.4%,No
ANKRD50,10,9,1013,0.9%,No
SYTL5,2,2,1013,0.2%,No
SYTL3,1,1,1013,<0.1%,No
DENND11,1,1,1013,<0.1%,No
DDX59,1,1,1013,<0.1%,No
IL22RA2,2,2,1013,0.2%,No
LYPLAL1,1,1,1013,<0.1%,No
ARHGAP24,3,3,1013,0.3%,No
KATNAL2,2,2,1013,0.2%,No
SELENON,4,4,1013,0.4%,No
VN1R1,3,2,1013,0.2%,No
DCLK2,4,4,1013,0.4%,No
ATP8B2,11,10,1013,1.0%,No
MCOLN1,5,5,1013,0.5%,No
ATP10A,12,11,1013,1.1%,No
RBP7,1,1,1013,<0.1%,No
GLT8D2,4,4,1013,0.4%,No
CDCA3,2,2,1013,0.2%,No
DRAM2,1,1,1013,<0.1%,No
APH1B,2,2,1013,0.2%,No
PYROXD2,5,5,1013,0.5%,No
MXD3,1,1,1013,<0.1%,No
RUNDC3B,2,2,1013,0.2%,No
ABCA13,48,43,1013,4.2%,No
ADGRA3,10,10,1013,1.0%,No
CFAP276,2,2,1013,0.2%,No
SLC26A9,5,5,1013,0.5%,No
ATXN7L2,4,4,1013,0.4%,No
SLC34A3,4,4,1013,0.4%,No
DUSP19,1,1,1013,<0.1%,No
MIB2,7,7,1013,0.7%,No
RP1L1,17,17,1013,1.7%,No
GNAT3,1,1,1013,<0.1%,No
NUTF2P4,1,1,1013,<0.1%,No
DPYSL3,2,2,1013,0.2%,No
PANX3,4,3,1013,0.3%,No
ARHGAP12,7,7,1013,0.7%,No
DPEP1,3,3,1013,0.3%,No
RAB40A,1,1,1013,<0.1%,No
ASB14,2,2,1013,0.2%,No
ASB15,5,5,1013,0.5%,No
RNF38,3,3,1013,0.3%,No
DPYSL2,6,6,1013,0.6%,No
DPYS,5,5,1013,0.5%,No
PLVAP,1,1,1013,<0.1%,No
ASB12,2,2,1013,0.2%,No
DPYD,3,3,1013,0.3%,No
DPT,2,2,1013,0.2%,No
DPP6,8,8,1013,0.8%,No
PUS3,1,1,1013,<0.1%,No
DPP4,4,4,1013,0.4%,No
DPH2,4,4,1013,0.4%,No
SCRT1,2,2,1013,0.2%,No
DPH1,5,5,1013,0.5%,No
EPPK1,27,25,1013,2.5%,No
OR2M3,7,7,1013,0.7%,No
OR2T10,2,2,1013,0.2%,No
METTL6,2,2,1013,0.2%,No
ABCC12,12,11,1013,1.1%,No
OR14C36,1,1,1013,<0.1%,No
OR2T12,2,2,1013,0.2%,No
SLC26A3,3,3,1013,0.3%,No
DR1,2,1,1013,<0.1%,No
GXYLT2,1,1,1013,<0.1%,No
DRG2,1,1,1013,<0.1%,No
DRD5,5,5,1013,0.5%,No
DRD4,3,3,1013,0.3%,No
DRD3,4,4,1013,0.4%,No
DRD2,3,3,1013,0.3%,No
DRD1,5,5,1013,0.5%,No
TATDN3,1,1,1013,<0.1%,No
OR2M5,3,3,1013,0.3%,No
ATN1,5,4,1013,0.4%,No
DRP2,2,2,1013,0.2%,No
ARID3A,2,2,1013,0.2%,Yes
DSG2,9,9,1013,0.9%,No
DSG1,2,2,1013,0.2%,No
RCAN1,3,3,1013,0.3%,No
DSCAM,10,9,1013,0.9%,No
DSC3,3,3,1013,0.3%,No
DSC2,2,2,1013,0.2%,No
DSC1,5,5,1013,0.5%,No
GATD1,2,1,1013,<0.1%,No
TNFSF12-TNFSF13,1,1,1013,<0.1%,No
OR6K6,6,6,1013,0.6%,No
OR6N1,3,3,1013,0.3%,No
EPYC,3,3,1013,0.3%,No
DSP,17,17,1013,1.7%,No
DSG3,1,1,1013,<0.1%,No
DTNB,1,1,1013,<0.1%,No
DTNA,7,7,1013,0.7%,No
SLC26A2,6,6,1013,0.6%,No
TBX10,1,1,1013,<0.1%,No
OR2A12,4,4,1013,0.4%,No
DSPP,1,1,1013,<0.1%,No
OR10X1,6,6,1013,0.6%,No
OR10Z1,9,9,1013,0.9%,No
DUSP2,1,1,1013,<0.1%,Yes
DUSP1,1,1,1013,<0.1%,No
ECM2,5,4,1013,0.4%,No
DTX1,9,8,1013,0.8%,Yes
CLLU1,2,2,1013,0.2%,No
DUSP7,3,3,1013,0.3%,No
DUSP6,1,1,1013,<0.1%,No
DUSP5,1,1,1013,<0.1%,No
DUSP4,1,1,1013,<0.1%,Yes
TMEM161B,3,3,1013,0.3%,No
HDGFL2,1,1,1013,<0.1%,No
HFM1,15,15,1013,1.5%,No
DVL1,3,3,1013,0.3%,No
CYSLTR2,3,3,1013,0.3%,Yes
DUT,1,1,1013,<0.1%,No
DUSP9,2,2,1013,0.2%,Yes
PLEKHA8,2,2,1013,0.2%,No
ANO2,4,4,1013,0.4%,No
PIGO,7,7,1013,0.7%,No
DUSP8,4,4,1013,0.4%,No
C12ORF4,1,1,1013,<0.1%,No
TIGAR,2,2,1013,0.2%,Yes
PSRC1,6,6,1013,0.6%,No
PNPLA2,2,2,1013,0.2%,No
DYRK1A,4,4,1013,0.4%,No
REXO4,4,4,1013,0.4%,No
DVL3,5,5,1013,0.5%,No
DVL2,9,7,1013,0.7%,No
PLAAT1,3,3,1013,0.3%,No
RAB25,2,2,1013,0.2%,No
GPT2,1,1,1013,<0.1%,No
GTPBP3,2,2,1013,0.2%,No
ZNF695,6,4,1013,0.4%,No
INTS12,1,1,1013,<0.1%,No
CAMK1D,4,4,1013,0.4%,No
TRPC7,10,10,1013,1.0%,No
PGLYRP4,1,1,1013,<0.1%,No
E2F1,5,4,1013,0.4%,No
C3ORF22,1,1,1013,<0.1%,No
GPR183,1,1,1013,<0.1%,No
GOPC,1,1,1013,<0.1%,Yes
LPAR5,2,2,1013,0.2%,No
NUP107,9,8,1013,0.8%,No
FBXO15,2,2,1013,0.2%,No
E4F1,5,4,1013,0.4%,No
RHBG,4,4,1013,0.4%,No
LYRM4,1,1,1013,<0.1%,No
E2F5,2,2,1013,0.2%,No
MRPL47,4,4,1013,0.4%,No
FCRL4,4,4,1013,0.4%,Yes
E2F4,2,2,1013,0.2%,No
FCRL5,12,11,1013,1.1%,No
UNC119B,2,2,1013,0.2%,No
DYNLT5,1,1,1013,<0.1%,No
CD248,4,4,1013,0.4%,No
E2F3,5,5,1013,0.5%,Yes
PLXDC1,2,2,1013,0.2%,No
SLC66A1L,2,2,1013,0.2%,No
EBF1,3,3,1013,0.3%,Yes
OR2T4,5,3,1013,0.3%,No
ECH1,1,1,1013,<0.1%,No
ATP13A1,7,7,1013,0.7%,No
TYMP,2,2,1013,0.2%,No
CHMP1B,1,1,1013,<0.1%,No
SPSB2,2,2,1013,0.2%,No
OR2T11,2,2,1013,0.2%,No
CNDP1,4,4,1013,0.4%,No
RGL3,8,7,1013,0.7%,No
FAM167B,1,1,1013,<0.1%,No
RAB12,2,2,1013,0.2%,No
MAN1C1,3,3,1013,0.3%,No
CBX2,1,1,1013,<0.1%,No
ELOVL3,2,2,1013,0.2%,No
ECE1,5,5,1013,0.5%,No
PLEKHB1,2,2,1013,0.2%,No
RTN4,6,5,1013,0.5%,No
SQOR,3,3,1013,0.3%,No
ADCK1,4,4,1013,0.4%,No
MS4A7,1,1,1013,<0.1%,No
PAK5,6,6,1013,0.6%,Yes
RNPEPL1,3,3,1013,0.3%,No
TCF7L1,1,1,1013,<0.1%,No
RPS4Y2,1,1,1013,<0.1%,No
EDA,2,2,1013,0.2%,No
SRPRB,2,2,1013,0.2%,No
ECT2,3,3,1013,0.3%,No
LDAF1,1,1,1013,<0.1%,No
TP53INP2,1,1,1013,<0.1%,No
ECM1,2,2,1013,0.2%,No
SCYL3,5,5,1013,0.5%,No
CRACR2A,3,3,1013,0.3%,No
ECHS1,1,1,1013,<0.1%,No
RALGAPB,8,7,1013,0.7%,No
ENOPH1,2,2,1013,0.2%,No
ZNF577,7,7,1013,0.7%,No
PLD5,6,6,1013,0.6%,No
ROPN1B,2,2,1013,0.2%,No
SLURP1,1,1,1013,<0.1%,No
NLRC4,3,3,1013,0.3%,No
SLC44A2,6,6,1013,0.6%,No
SMURF1,2,2,1013,0.2%,No
UBXN2A,2,2,1013,0.2%,No
TRIM60,6,5,1013,0.5%,No
RHOU,2,2,1013,0.2%,No
USP30,3,3,1013,0.3%,No
C1ORF100,1,1,1013,<0.1%,No
LYZL6,1,1,1013,<0.1%,No
TMEM63C,4,4,1013,0.4%,No
PCTP,2,2,1013,0.2%,No
PHTF2,8,8,1013,0.8%,No
JPH2,6,6,1013,0.6%,No
SPAG17,10,10,1013,1.0%,No
TRIM54,1,1,1013,<0.1%,No
FUT10,2,2,1013,0.2%,No
SPANXN3,1,1,1013,<0.1%,No
SLITRK4,5,5,1013,0.5%,No
ORMDL3,3,3,1013,0.3%,No
TGS1,2,2,1013,0.2%,No
JAM2,2,2,1013,0.2%,No
GJC2,3,3,1013,0.3%,No
ZNF71,8,7,1013,0.7%,No
ORMDL1,2,2,1013,0.2%,No
RPRD1B,4,4,1013,0.4%,No
PELI2,4,4,1013,0.4%,No
PELI1,2,2,1013,0.2%,No
ZNF77,1,1,1013,<0.1%,No
SALL4,9,8,1013,0.8%,Yes
ZNF462,14,14,1013,1.4%,No
ASPHD2,4,4,1013,0.4%,No
ZNFX1,14,11,1013,1.1%,No
KMT5C,3,3,1013,0.3%,No
SLFNL1,2,2,1013,0.2%,No
ABHD11,4,4,1013,0.4%,No
DRC3,1,1,1013,<0.1%,No
RAB33B,1,1,1013,<0.1%,No
MBLAC2,2,2,1013,0.2%,No
CORO1B,4,4,1013,0.4%,No
VARS2,5,5,1013,0.5%,No
DOLPP1,1,1,1013,<0.1%,No
CAMK1G,3,3,1013,0.3%,No
PUS7L,6,4,1013,0.4%,No
CRTC2,3,3,1013,0.3%,No
SLC25A31,2,2,1013,0.2%,No
PMFBP1,5,5,1013,0.5%,No
ZMIZ1,6,6,1013,0.6%,No
INO80B,4,4,1013,0.4%,No
MAGEC3,4,4,1013,0.4%,No
SF3B5,2,2,1013,0.2%,No
CCDC70,2,2,1013,0.2%,No
GSG1,3,3,1013,0.3%,No
ADPGK,1,1,1013,<0.1%,No
SH3BGRL3,1,1,1013,<0.1%,No
MFSD3,1,1,1013,<0.1%,No
KRTAP12-2,1,1,1013,<0.1%,No
ANKRD37,2,2,1013,0.2%,No
WDR31,1,1,1013,<0.1%,No
SPATA12,3,3,1013,0.3%,No
KHDRBS3,3,3,1013,0.3%,No
CELF2,5,5,1013,0.5%,No
CELF1,4,4,1013,0.4%,No
VASN,4,3,1013,0.3%,No
ZNF618,2,2,1013,0.2%,No
SPINT2,1,1,1013,<0.1%,No
YKT6,3,3,1013,0.3%,No
STAC2,3,3,1013,0.3%,No
DMRT2,5,5,1013,0.5%,No
KRTAP27-1,2,2,1013,0.2%,No
SVOPL,6,4,1013,0.4%,No
KRTAP12-1,3,3,1013,0.3%,No
KRTAP10-10,3,3,1013,0.3%,No
CGRRF1,1,1,1013,<0.1%,No
FARS2,5,5,1013,0.5%,No
LBX1,1,1,1013,<0.1%,No
KLF1,2,2,1013,0.2%,No
CTCF,5,5,1013,0.5%,Yes
CXCR6,2,2,1013,0.2%,No
CD226,2,2,1013,0.2%,No
TSBP1,3,3,1013,0.3%,No
MTPN,1,1,1013,<0.1%,No
KRT28,4,4,1013,0.4%,No
GPR141,3,3,1013,0.3%,No
RNFT2,3,3,1013,0.3%,No
LEFTY1,1,1,1013,<0.1%,No
PYHIN1,11,11,1013,1.1%,No
RGS14,1,1,1013,<0.1%,No
NFATC2IP,1,1,1013,<0.1%,No
PTPMT1,2,2,1013,0.2%,No
POSTN,7,6,1013,0.6%,No
RASL10A,2,2,1013,0.2%,No
ADPRHL1,2,2,1013,0.2%,No
SPATA45,1,1,1013,<0.1%,No
ZNF233,5,5,1013,0.5%,No
SCGB1D2,1,1,1013,<0.1%,No
C1ORF74,2,2,1013,0.2%,No
TSGA13,2,2,1013,0.2%,No
EXOC5,2,2,1013,0.2%,No
LRGUK,7,7,1013,0.7%,No
IGF2BP1,6,6,1013,0.6%,No
IGF2BP2,1,1,1013,<0.1%,No
IGF2BP3,3,3,1013,0.3%,No
LRP11,1,1,1013,<0.1%,No
TEX43,1,1,1013,<0.1%,No
ZNF587,2,2,1013,0.2%,No
CLEC18B,2,2,1013,0.2%,No
UTP4,3,3,1013,0.3%,No
TRIM3,4,4,1013,0.4%,No
SPAG5,3,2,1013,0.2%,No
ZNF566,3,3,1013,0.3%,No
HEXIM1,5,5,1013,0.5%,No
FAM104A,2,2,1013,0.2%,No
STAMBP,1,1,1013,<0.1%,No
RBCK1,4,4,1013,0.4%,No
ALG10,3,1,1013,<0.1%,No
TTC8,2,2,1013,0.2%,No
TGOLN2,2,2,1013,0.2%,No
TMPPE,7,7,1013,0.7%,No
PDLIM5,4,4,1013,0.4%,No
ST6GALNAC2,3,3,1013,0.3%,No
OR6C1,3,3,1013,0.3%,No
OR6C75,1,1,1013,<0.1%,No
AOPEP,1,1,1013,<0.1%,No
OR6C76,6,6,1013,0.6%,No
OR6C70,3,3,1013,0.3%,No
ZNF341,2,2,1013,0.2%,No
ZNF382,4,4,1013,0.4%,No
POLR3C,3,3,1013,0.3%,No
TMEM87B,3,3,1013,0.3%,No
TRIM16,1,1,1013,<0.1%,No
ATOH8,2,2,1013,0.2%,No
IVNS1ABP,3,3,1013,0.3%,No
SLC35B4,1,1,1013,<0.1%,No
TXNIP,4,4,1013,0.4%,No
MYL12A,2,2,1013,0.2%,No
TAF6L,2,2,1013,0.2%,No
CBLN3,2,2,1013,0.2%,No
ARID3B,5,5,1013,0.5%,Yes
POLR3G,1,1,1013,<0.1%,No
POLR3F,1,1,1013,<0.1%,No
SDSL,4,4,1013,0.4%,No
ZNRF1,1,1,1013,<0.1%,No
CCM2,3,3,1013,0.3%,No
ZFYVE19,1,1,1013,<0.1%,No
PWWP3A,1,1,1013,<0.1%,No
AMMECR1L,2,2,1013,0.2%,No
ATG4C,2,2,1013,0.2%,No
KAT14,5,5,1013,0.5%,No
MAEL,3,3,1013,0.3%,No
PBXIP1,3,3,1013,0.3%,No
EIF4E3,1,1,1013,<0.1%,No
LTV1,2,2,1013,0.2%,No
TOMM5,1,1,1013,<0.1%,No
ABHD13,1,1,1013,<0.1%,No
CORO6,5,5,1013,0.5%,No
C5ORF46,1,1,1013,<0.1%,No
ARHGEF37,2,2,1013,0.2%,No
WDR73,3,3,1013,0.3%,No
MSGN1,3,3,1013,0.3%,No
FIBCD1,6,6,1013,0.6%,No
NXF3,3,3,1013,0.3%,No
SPRYD3,4,4,1013,0.4%,No
SLC49A4,7,6,1013,0.6%,No
TMEM209,4,4,1013,0.4%,No
CDC42EP3,2,2,1013,0.2%,No
ZNF287,6,6,1013,0.6%,No
C8ORF76,1,1,1013,<0.1%,No
SENP7,7,7,1013,0.7%,No
JPH3,8,8,1013,0.8%,No
SH2B2,5,5,1013,0.5%,No
RITA1,2,2,1013,0.2%,No
PAICS,1,1,1013,<0.1%,No
CBX8,5,5,1013,0.5%,No
PAIP1,1,1,1013,<0.1%,No
RCN3,4,4,1013,0.4%,No
TBL3,6,6,1013,0.6%,No
ZNF286A,1,1,1013,<0.1%,No
MASTL,2,2,1013,0.2%,No
USP16,6,6,1013,0.6%,No
OTOS,1,1,1013,<0.1%,No
ZNF519,2,1,1013,<0.1%,No
EGLN2,4,4,1013,0.4%,No
KCTD11,1,1,1013,<0.1%,No
GTSF1L,1,1,1013,<0.1%,No
RTL1,9,9,1013,0.9%,No
COMMD1,1,1,1013,<0.1%,No
OR6B3,4,4,1013,0.4%,No
TMEM201,1,1,1013,<0.1%,No
ZBTB9,3,3,1013,0.3%,No
MDGA2,15,13,1013,1.3%,No
BNIP5,4,4,1013,0.4%,No
SLC24A4,3,3,1013,0.3%,No
C18ORF54,2,2,1013,0.2%,No
TC2N,3,3,1013,0.3%,No
PROM2,4,4,1013,0.4%,No
FYB2,2,2,1013,0.2%,No
SAMD11,5,4,1013,0.4%,No
CDYL2,3,3,1013,0.3%,No
ZBTB12,4,4,1013,0.4%,No
GMEB1,2,2,1013,0.2%,No
FUT9,1,1,1013,<0.1%,No
GARIN4,6,6,1013,0.6%,No
CCT6B,4,4,1013,0.4%,Yes
RRH,2,2,1013,0.2%,No
CNPY3,4,3,1013,0.3%,No
CCT8,4,4,1013,0.4%,No
CORIN,4,4,1013,0.4%,No
DEGS2,3,3,1013,0.3%,No
SLC25A29,1,1,1013,<0.1%,No
CREB3L4,4,4,1013,0.4%,No
C1ORF127,3,3,1013,0.3%,No
TMEM199,2,2,1013,0.2%,No
B3GNT2,2,2,1013,0.2%,No
PPP4R2,2,2,1013,0.2%,Yes
DCTN6,3,3,1013,0.3%,No
RRAGA,2,2,1013,0.2%,No
TNFSF13B,4,4,1013,0.4%,No
GNA13,4,4,1013,0.4%,Yes
CSPG5,2,2,1013,0.2%,No
AVIL,3,3,1013,0.3%,No
TMEM130,6,6,1013,0.6%,No
DHRS13,4,4,1013,0.4%,No
EBP,1,1,1013,<0.1%,No
GNB5,1,1,1013,<0.1%,No
DLL3,5,5,1013,0.5%,No
CLDN16,2,2,1013,0.2%,No
ASB10,3,3,1013,0.3%,No
PNMA2,2,2,1013,0.2%,No
EPSTI1,1,1,1013,<0.1%,No
FERD3L,4,3,1013,0.3%,No
FBXL22,3,3,1013,0.3%,No
TP53INP1,1,1,1013,<0.1%,No
RTP3,1,1,1013,<0.1%,No
NUDT12,3,3,1013,0.3%,No
RASSF5,5,5,1013,0.5%,No
BCL2L12,1,1,1013,<0.1%,No
SOX7,1,1,1013,<0.1%,No
AKR1E2,1,1,1013,<0.1%,No
FOXQ1,2,2,1013,0.2%,No
EDNRA,1,1,1013,<0.1%,No
H2AZ2,1,1,1013,<0.1%,No
EDN3,4,4,1013,0.4%,No
OPN4,1,1,1013,<0.1%,No
EDN2,4,4,1013,0.4%,No
S1PR3,4,4,1013,0.4%,No
FCSK,5,5,1013,0.5%,No
LPAR1,3,3,1013,0.3%,No
MLKL,5,5,1013,0.5%,No
S1PR1,8,5,1013,0.5%,No
LDHD,3,3,1013,0.3%,No
EDNRB,4,4,1013,0.4%,No
EEF1A2,5,5,1013,0.5%,No
EEF1A1,5,5,1013,0.5%,No
PHC2,4,4,1013,0.4%,No
PHC1,6,5,1013,0.5%,No
SYT6,1,1,1013,<0.1%,No
REM2,1,1,1013,<0.1%,No
SAMD9L,13,13,1013,1.3%,No
EEF2,9,9,1013,0.9%,No
EEF1G,3,3,1013,0.3%,No
EEF1D,5,5,1013,0.5%,No
FITM1,1,1,1013,<0.1%,No
ATAD3C,4,4,1013,0.4%,No
EFNA2,3,3,1013,0.3%,No
EFNB3,3,3,1013,0.3%,No
EFNB2,1,1,1013,<0.1%,No
EFNB1,2,2,1013,0.2%,No
EFNA5,3,3,1013,0.3%,No
EFNA4,1,1,1013,<0.1%,No
EFNA3,4,4,1013,0.4%,No
MEGF8,13,12,1013,1.2%,No
MEGF6,9,7,1013,0.7%,No
CELSR2,22,17,1013,1.7%,No
CELSR3,27,21,1013,2.1%,No
EGF,7,7,1013,0.7%,No
NOMO2,2,2,1013,0.2%,No
EGR2,1,1,1013,<0.1%,No
EGR1,5,5,1013,0.5%,Yes
EGFR,10,10,1013,1.0%,Yes
MEGF9,1,1,1013,<0.1%,No
EIF2S1,2,2,1013,0.2%,No
EIF1AX,2,2,1013,0.2%,Yes
ALG14,1,1,1013,<0.1%,No
EHHADH,13,13,1013,1.3%,No
EGR4,2,2,1013,0.2%,No
EGR3,1,1,1013,<0.1%,No
EPHA2,5,5,1013,0.5%,No
EIF2S3,2,2,1013,0.2%,No
EIF2B1,2,2,1013,0.2%,Yes
C1QTNF6,2,2,1013,0.2%,No
C1QTNF7,2,2,1013,0.2%,No
FBXO32,1,1,1013,<0.1%,No
ARFGEF3,18,15,1013,1.5%,No
ZNF496,6,5,1013,0.5%,No
RAX2,1,1,1013,<0.1%,No
C1QTNF5,1,1,1013,<0.1%,No
EIF4B,5,4,1013,0.4%,No
PHF5A,1,1,1013,<0.1%,No
EIF4A2,2,2,1013,0.2%,Yes
EIF4A1,3,3,1013,0.3%,No
ERGIC1,2,2,1013,0.2%,No
PPP4R3B,7,7,1013,0.7%,No
HPDL,3,3,1013,0.3%,No
EIF4E,1,1,1013,<0.1%,Yes
CELA1,2,2,1013,0.2%,No
SFT2D3,3,3,1013,0.3%,No
NUDT14,2,2,1013,0.2%,No
LRTM2,2,2,1013,0.2%,No
ABHD14B,2,2,1013,0.2%,No
EIF5A,2,2,1013,0.2%,No
EIF5,2,2,1013,0.2%,No
EIF4G2,4,4,1013,0.4%,No
EIF4G1,13,13,1013,1.3%,No
PGP,2,2,1013,0.2%,No
F2RL3,1,1,1013,<0.1%,No
ARSI,8,8,1013,0.8%,No
LRCH3,4,4,1013,0.4%,No
ELF2,1,1,1013,<0.1%,No
PTPN5,9,9,1013,0.9%,No
ELF1,2,2,1013,0.2%,No
TMEM25,3,3,1013,0.3%,No
ELAVL4,4,4,1013,0.4%,No
