Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ENTR1","Endosome Associated Trafficking Regulator 1","Protein Coding","39","GC09M136403","5.88144683837891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTR1"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","56","GC01M155490","5.88058996200562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"KIF4A","Kinesin Family Member 4A","Protein Coding","46","GC0XP070290","5.87592315673828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF4A"
"PCBP2","Poly(RC) Binding Protein 2","Protein Coding","48","GC12P053452","5.87540531158447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2"
"FBP1","Fructose-Bisphosphatase 1","Protein Coding","56","GC09M094603","5.87491607666016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBP1"
"ROR1","Receptor Tyrosine Kinase Like Orphan Receptor 1","Protein Coding","53","GC01P063774","5.87139129638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROR1"
"HNRNPL","Heterogeneous Nuclear Ribonucleoprotein L","Protein Coding","47","GC19M038836","5.86661338806152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPL"
"RPL31","Ribosomal Protein L31","Protein Coding","48","GC02P100985","5.86615180969238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL31"
"INHBB","Inhibin Subunit Beta B","Protein Coding","48","GC02P125323","5.86483955383301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB"
"SORBS1","Sorbin And SH3 Domain Containing 1","Protein Coding","48","GC10M095311","5.86438369750977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORBS1"
"LOC108021846","SOX9 Promoter Region","Functional Element","4","GC17P072120","5.86384868621826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108021846"
"PRDX4","Peroxiredoxin 4","Protein Coding","48","GC0XP023665","5.86381435394287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX4"
"ODF4","Outer Dense Fiber Of Sperm Tails 4","Protein Coding","36","GC17P008339","5.86306238174438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODF4"
"TNFSF15","TNF Superfamily Member 15","Protein Coding","51","GC09M114784","5.86210107803345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15"
"HTR2C","5-Hydroxytryptamine Receptor 2C","Protein Coding","52","GC0XP114584","5.85788488388062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2C"
"TCP1","T-Complex 1","Protein Coding","50","GC06M159778","5.85547256469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCP1"
"SCG5","Secretogranin V","Protein Coding","44","GC15P032641","5.85519599914551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCG5"
"STK19","Serine/Threonine Kinase 19","Protein Coding","46","GC06P031971","5.85433292388916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK19"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","57","GC01P055039","5.84691858291626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"MALT1","MALT1 Paracaspase","Protein Coding","55","GC18P058671","5.84638214111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALT1"
"SEMG2","Semenogelin 2","Protein Coding","42","GC20P045221","5.84287738800049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMG2"
"PKN3","Protein Kinase N3","Protein Coding","48","GC09P128702","5.83042430877686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN3"
"CHD4","Chromodomain Helicase DNA Binding Protein 4","Protein Coding","51","GC12M006570","5.82870721817017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD4"
"HEPACAM","Hepatic And Glial Cell Adhesion Molecule","Protein Coding","48","GC11M124919","5.8276686668396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEPACAM"
"SMTN","Smoothelin","Protein Coding","45","GC22P049677","5.8211784362793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMTN"
"ACP5","Acid Phosphatase 5, Tartrate Resistant","Protein Coding","53","GC19M011574","5.81840562820435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5"
"EHF","ETS Homologous Factor","Protein Coding","46","GC11P034621","5.81272411346436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHF"
"UGT2B7","UDP Glucuronosyltransferase Family 2 Member B7","Protein Coding","50","GC04P069051","5.81162357330322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B7"
"MT1E","Metallothionein 1E","Protein Coding","44","GC16P056625","5.81102848052979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT1E"
"MYBL1","MYB Proto-Oncogene Like 1","Protein Coding","46","GC08M066562","5.81076955795288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL1"
"AHSG","Alpha 2-HS Glycoprotein","Protein Coding","51","GC03P186645","5.81046152114868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSG"
"OXT","Oxytocin/Neurophysin I Prepropeptide","Protein Coding","45","GC20P004754","5.80961036682129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT"
"CST3","Cystatin C","Protein Coding","51","GC20M023742","5.80845069885254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"CLEC4M","C-Type Lectin Domain Family 4 Member M","Protein Coding","46","GC19P007763","5.80765914916992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4M"
"ULK2","Unc-51 Like Autophagy Activating Kinase 2","Protein Coding","48","GC17M056275","5.79842853546143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK2"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","53","GC02M191029","5.79836654663086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"SCGB1D1","Secretoglobin Family 1D Member 1","Protein Coding","35","GC11P062208","5.79818058013916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1D1"
"FOXP4","Forkhead Box P4","Protein Coding","46","GC06P100377","5.79666185379028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP4"
"DLGAP5","DLG Associated Protein 5","Protein Coding","46","GC14M055148","5.79545831680298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP5"
"IKZF3","IKAROS Family Zinc Finger 3","Protein Coding","50","GC17M057018","5.79499912261963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKZF3"
"TUSC1","Tumor Suppressor Candidate 1","Protein Coding","36","GC09M025668","5.79456901550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUSC1"
"TCF7L1","Transcription Factor 7 Like 1","Protein Coding","47","GC02P085133","5.7883882522583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1"
"COPS6","COP9 Signalosome Subunit 6","Protein Coding","43","GC07P100088","5.78823375701904","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS6"
"ASPSCR1","ASPSCR1 Tether For SLC2A4, UBX Domain Containing","Protein Coding","48","GC17P081976","5.78804969787598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPSCR1"
"MC2R","Melanocortin 2 Receptor","Protein Coding","53","GC18M029323","5.78784132003784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC2R"
"LINC00336","Long Intergenic Non-Protein Coding RNA 336","RNA Gene","30","GC06M033586","5.78579902648926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00336"
"HNRNPU","Heterogeneous Nuclear Ribonucleoprotein U","Protein Coding","50","GC01M244844","5.78324317932129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPU"
"ATP4A","ATPase H+/K+ Transporting Subunit Alpha","Protein Coding","48","GC19M077325","5.78064966201782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP4A"
"TRIM33","Tripartite Motif Containing 33","Protein Coding","51","GC01M114392","5.77702522277832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM33"
"MIR369","MicroRNA 369","RNA Gene","22","GC14P111876","5.77316522598267","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR369"
"LRBA","LPS Responsive Beige-Like Anchor Protein","Protein Coding","48","GC04M150264","5.77252960205078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRBA"
"CUBN","Cubilin","Protein Coding","52","GC10M016824","5.77008771896362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN"
"ELF3-AS1","ELF3 Antisense RNA 1","RNA Gene","17","GC01M202001","5.76767444610596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELF3-AS1"
"GUCA2B","Guanylate Cyclase Activator 2B","Protein Coding","44","GC01P042153","5.76653289794922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCA2B"
"CCT2","Chaperonin Containing TCP1 Subunit 2","Protein Coding","49","GC12P069585","5.76621866226196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT2"
"MYOCD","Myocardin","Protein Coding","49","GC17P012665","5.76133918762207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD"
"CD14","CD14 Molecule","Protein Coding","53","GC05M140631","5.75966358184814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14"
"ASAH1","N-Acylsphingosine Amidohydrolase 1","Protein Coding","56","GC08M018055","5.75599002838135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1"
"RBM3","RNA Binding Motif Protein 3","Protein Coding","44","GC0XP048574","5.75504159927368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM3"
"PKD2","Polycystin 2, Transient Receptor Potential Cation Channel","Protein Coding","55","GC04P088007","5.75478363037109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD2"
"BIK","BCL2 Interacting Killer","Protein Coding","46","GC22P043110","5.75473928451538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIK"
"PRSS58","Serine Protease 58","Protein Coding","40","GC07M142364","5.75421762466431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS58"
"CNDP2","Carnosine Dipeptidase 2","Protein Coding","50","GC18P074495","5.74909210205078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNDP2"
"MDH2","Malate Dehydrogenase 2","Protein Coding","55","GC07P076048","5.7490439414978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2"
"OGFR","Opioid Growth Factor Receptor","Protein Coding","44","GC20P062804","5.74598169326782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGFR"
"AIM2","Absent In Melanoma 2","Protein Coding","48","GC01M159062","5.74595022201538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIM2"
"DOCK5","Dedicator Of Cytokinesis 5","Protein Coding","44","GC08P025184","5.74360132217407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK5"
"HGFAC","HGF Activator","Protein Coding","49","GC04P003443","5.74201679229736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGFAC"
"FAH","Fumarylacetoacetate Hydrolase","Protein Coding","54","GC15P080152","5.73994445800781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAH"
"DHX8","DEAH-Box Helicase 8","Protein Coding","47","GC17P043483","5.73971939086914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX8"
"CSNK2B","Casein Kinase 2 Beta","Protein Coding","55","GC06P100206","5.73887968063354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B"
"KISS1R","KISS1 Receptor","Protein Coding","53","GC19P000917","5.73693180084229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KISS1R"
"RBPJ","Recombination Signal Binding Protein For Immunoglobulin Kappa J Region","Protein Coding","53","GC04P026105","5.73555421829224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPJ"
"ARRB2","Arrestin Beta 2","Protein Coding","52","GC17P005940","5.73402214050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2"
"PPP1CA","Protein Phosphatase 1 Catalytic Subunit Alpha","Protein Coding","53","GC11M106215","5.73400020599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CA"
"RBBP7","RB Binding Protein 7, Chromatin Remodeling Factor","Protein Coding","49","GC0XM016839","5.73369693756104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP7"
"TPM3","Tropomyosin 3","Protein Coding","53","GC01M154155","5.73266363143921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM3"
"FER","FER Tyrosine Kinase","Protein Coding","53","GC05P108747","5.72768259048462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FER"
"WWC3","WWC Family Member 3","Protein Coding","40","GC0XP010015","5.72608661651611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWC3"
"NONO","Non-POU Domain Containing Octamer Binding","Protein Coding","52","GC0XP071255","5.72591638565063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONO"
"SMAD9","SMAD Family Member 9","Protein Coding","53","GC13M036844","5.72553443908691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD9"
"FBH1","F-Box DNA Helicase 1","Protein Coding","40","GC10P005889","5.72144317626953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBH1"
"E2F7","E2F Transcription Factor 7","Protein Coding","47","GC12M077021","5.71786975860596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F7"
"RPL3","Ribosomal Protein L3","Protein Coding","49","GC22M065962","5.7165699005127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3"
"CDYL2","Chromodomain Y Like 2","Protein Coding","41","GC16M080598","5.71372890472412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDYL2"
"SBNO1","Strawberry Notch Homolog 1","Protein Coding","43","GC12M123289","5.7125997543335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBNO1"
"UBE2D1","Ubiquitin Conjugating Enzyme E2 D1","Protein Coding","51","GC10P058334","5.71187877655029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D1"
"CDK9","Cyclin Dependent Kinase 9","Protein Coding","53","GC09P128237","5.71090173721313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9"
"FKBP4","FKBP Prolyl Isomerase 4","Protein Coding","52","GC12P002795","5.70770597457886","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP4"
"KAT2A","Lysine Acetyltransferase 2A","Protein Coding","56","GC17M042113","5.7073974609375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT2A"
"VCAN-AS1","VCAN Antisense RNA 1","RNA Gene","18","GC05M083509","5.70693063735962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAN-AS1"
"KTN1","Kinectin 1","Protein Coding","48","GC14P055559","5.7037467956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KTN1"
"SELENOF","Selenoprotein F","Protein Coding","40","GC01M086863","5.69885778427124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOF"
"TDRD1","Tudor Domain Containing 1","Protein Coding","44","GC10P114179","5.69843292236328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDRD1"
"DDX60","DExD/H-Box Helicase 60","Protein Coding","42","GC04M168216","5.69727325439453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX60"
"PCNX1","Pecanex 1","Protein Coding","43","GC14P070908","5.69288635253906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNX1"
"EPM2AIP1","EPM2A Interacting Protein 1","Protein Coding","41","GC03M037113","5.6917085647583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPM2AIP1"
"C17orf80","Chromosome 17 Open Reading Frame 80","Protein Coding","40","GC17P073232","5.69117450714111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C17orf80"
"TSC22D1","TSC22 Domain Family Member 1","Protein Coding","47","GC13M044432","5.68911933898926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC22D1"
"GAGE1","G Antigen 1","Protein Coding","32","GC0XP051937","5.68861627578735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAGE1"
"NIBAN1","Niban Apoptosis Regulator 1","Protein Coding","45","GC01M184791","5.68852710723877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN1"
"LIMS1","LIM Zinc Finger Domain Containing 1","Protein Coding","47","GC02P108534","5.6876163482666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMS1"
"HOXC13","Homeobox C13","Protein Coding","47","GC12P053938","5.68660068511963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXC13"
"SPECC1L","Sperm Antigen With Calponin Homology And Coiled-Coil Domains 1 Like","Protein Coding","47","GC22P049451","5.68642950057983","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPECC1L"
"KPRP","Keratinocyte Proline Rich Protein","Protein Coding","37","GC01P153139","5.68577480316162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPRP"
"DACT1","Dishevelled Binding Antagonist Of Beta Catenin 1","Protein Coding","47","GC14P058633","5.68477821350098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DACT1"
"KLF9","KLF Transcription Factor 9","Protein Coding","42","GC09M070384","5.68400049209595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF9"
"EYA1","EYA Transcriptional Coactivator And Phosphatase 1","Protein Coding","51","GC08M071210","5.68066787719727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EYA1"
"MIR616","MicroRNA 616","RNA Gene","22","GC12M057519","5.67874002456665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR616"
"G6PC1","Glucose-6-Phosphatase Catalytic Subunit 1","Protein Coding","51","GC17P072988","5.6785774230957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC1"
"PTRH2","Peptidyl-TRNA Hydrolase 2","Protein Coding","50","GC17M059674","5.67749118804932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTRH2"
"RERG","RAS Like Estrogen Regulated Growth Inhibitor","Protein Coding","44","GC12M024171","5.67629098892212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RERG"
"MTSS1","MTSS I-BAR Domain Containing 1","Protein Coding","48","GC08M124550","5.67570304870605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTSS1"
"ANO9","Anoctamin 9","Protein Coding","43","GC11M007267","5.67503833770752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO9"
"TCEAL7","Transcription Elongation Factor A Like 7","Protein Coding","38","GC0XP103330","5.67476224899292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCEAL7"
"S100A13","S100 Calcium Binding Protein A13","Protein Coding","43","GC01M153618","5.67412662506104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A13"
"SEMA4D","Semaphorin 4D","Protein Coding","55","GC09M089360","5.67116498947144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4D"
"XAGE3","X Antigen Family Member 3","Protein Coding","33","GC0XM053319","5.66822957992554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XAGE3"
"RPTOR","Regulatory Associated Protein Of MTOR Complex 1","Protein Coding","50","GC17P080544","5.66781616210938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPTOR"
"TBK1","TANK Binding Kinase 1","Protein Coding","56","GC12P064451","5.66485691070557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"RPS14","Ribosomal Protein S14","Protein Coding","49","GC05M150443","5.66069459915161","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS14"
"PFKFB4","6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 4","Protein Coding","50","GC03M048517","5.65945291519165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKFB4"
"LAMA3","Laminin Subunit Alpha 3","Protein Coding","51","GC18P023689","5.65839672088623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3"
"PLEC","Plectin","Protein Coding","50","GC08M145891","5.65683650970459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEC"
"BCLAF1","BCL2 Associated Transcription Factor 1","Protein Coding","47","GC06M136256","5.65436935424805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCLAF1"
"ATP6V0A1","ATPase H+ Transporting V0 Subunit A1","Protein Coding","50","GC17P042458","5.64730834960938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0A1"
"RAD17","RAD17 Checkpoint Clamp Loader Component","Protein Coding","49","GC05P069369","5.6419825553894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD17"
"PPP1R3C","Protein Phosphatase 1 Regulatory Subunit 3C","Protein Coding","45","GC10M091628","5.64064121246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3C"
"FUCA2","Alpha-L-Fucosidase 2","Protein Coding","47","GC06M143494","5.64049482345581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUCA2"
"AATF","Apoptosis Antagonizing Transcription Factor","Protein Coding","48","GC17P036948","5.63983488082886","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATF"
"TRPC4","Transient Receptor Potential Cation Channel Subfamily C Member 4","Protein Coding","51","GC13M038142","5.63953018188477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC4"
"LINC00467","Long Intergenic Non-Protein Coding RNA 467","RNA Gene","25","GC01P211382","5.63918590545654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00467"
"SLC22A5","Solute Carrier Family 22 Member 5","Protein Coding","53","GC05P132369","5.63744401931763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A5"
"MSRA","Methionine Sulfoxide Reductase A","Protein Coding","48","GC08P010054","5.63557863235474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRA"
"STN1","STN1 Subunit Of CST Complex","Protein Coding","47","GC10M103996","5.63525247573853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STN1"
"RPL27","Ribosomal Protein L27","Protein Coding","50","GC17P042998","5.6345100402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27"
"S100A14","S100 Calcium Binding Protein A14","Protein Coding","44","GC01M153614","5.63368511199951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A14"
"ARHGAP26","Rho GTPase Activating Protein 26","Protein Coding","53","GC05P142770","5.62935352325439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP26"
"CENPF","Centromere Protein F","Protein Coding","49","GC01P214603","5.62934494018555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPF"
"POTEG","POTE Ankyrin Domain Family Member G","Protein Coding","34","GC14M019402","5.62759923934937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POTEG"
"RPS15A","Ribosomal Protein S15a","Protein Coding","50","GC16M018781","5.62589263916016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15A"
"TCAF1","TRPM8 Channel Associated Factor 1","Protein Coding","39","GC07M143852","5.62551307678223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCAF1"
"ABCB11","ATP Binding Cassette Subfamily B Member 11","Protein Coding","53","GC02M168922","5.62188386917114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB11"
"PCDH11Y","Protocadherin 11 Y-Linked","Protein Coding","34","GC0YP005000","5.61836814880371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH11Y"
"ATP8B1","ATPase Phospholipid Transporting 8B1","Protein Coding","48","GC18M057646","5.6175012588501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP8B1"
"BCL2A1","BCL2 Related Protein A1","Protein Coding","48","GC15M129861","5.61697149276733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2A1"
"CRH","Corticotropin Releasing Hormone","Protein Coding","50","GC08M066176","5.61126947402954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"PLXNA1","Plexin A1","Protein Coding","52","GC03P126988","5.60392379760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLXNA1"
"FERMT2","FERM Domain Containing Kindlin 2","Protein Coding","46","GC14M052857","5.59866046905518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FERMT2"
"FOXL2","Forkhead Box L2","Protein Coding","47","GC03M138944","5.59851598739624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXL2"
"ARTN","Artemin","Protein Coding","48","GC01P043933","5.59834289550781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARTN"
"IL17F","Interleukin 17F","Protein Coding","50","GC06M078287","5.5972466468811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17F"
"CD1D","CD1d Molecule","Protein Coding","50","GC01P158178","5.59453105926514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD1D"
"ATF7","Activating Transcription Factor 7","Protein Coding","47","GC12M053592","5.59312105178833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF7"
"SRD5A3","Steroid 5 Alpha-Reductase 3","Protein Coding","50","GC04P055346","5.59307909011841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A3"
"PIM2","Pim-2 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","50","GC0XM048913","5.5929126739502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM2"
"SCT","Secretin","Protein Coding","40","GC11M000626","5.59231042861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCT"
"SOX1","SRY-Box Transcription Factor 1","Protein Coding","44","GC13P112067","5.59127426147461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX1"
"CRAT","Carnitine O-Acetyltransferase","Protein Coding","52","GC09M129094","5.59007358551025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRAT"
"H1-4","H1.4 Linker Histone, Cluster Member","Protein Coding","49","GC06P101159","5.5899338722229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-4"
"GTF2H5","General Transcription Factor IIH Subunit 5","Protein Coding","46","GC06P158168","5.58094787597656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2H5"
"HCG18","HLA Complex Group 18","RNA Gene","19","GC06M077808","5.57852077484131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG18"
"BMP5","Bone Morphogenetic Protein 5","Protein Coding","49","GC06M055753","5.578369140625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5"
"TCOF1","Treacle Ribosome Biogenesis Factor 1","Protein Coding","48","GC05P150358","5.57422065734863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCOF1"
"IGF2BP2-AS1","IGF2BP2 Antisense RNA 1","RNA Gene","26","GC03P185620","5.57382822036743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP2-AS1"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","57","GC06P131808","5.5709981918335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"CPA4","Carboxypeptidase A4","Protein Coding","48","GC07P130293","5.56998109817505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA4"
"UIMC1","Ubiquitin Interaction Motif Containing 1","Protein Coding","46","GC05M176905","5.56902694702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UIMC1"
"CYP4B1","Cytochrome P450 Family 4 Subfamily B Member 1","Protein Coding","50","GC01P046757","5.5681357383728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP4B1"
"MEG8","Maternally Expressed 8, Small Nucleolar RNA Host Gene","RNA Gene","23","GC14P111861","5.56697750091553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG8"
